ID	Description
GO:0001910	regulation of leukocyte mediated cytotoxicity
GO:2000106	regulation of leukocyte apoptotic process
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:2001236	regulation of extrinsic apoptotic signaling pathway
GO:0009595	detection of biotic stimulus
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0002701	negative regulation of production of molecular mediator of immune response
GO:0016064	immunoglobulin mediated immune response
GO:0031214	biomineral tissue development
GO:0048525	negative regulation of viral process
GO:0032613	interleukin-10 production
GO:0032653	regulation of interleukin-10 production
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0141060	disruption of anatomical structure in another organism
GO:0045859	regulation of protein kinase activity
GO:0002224	toll-like receptor signaling pathway
GO:1900017	positive regulation of cytokine production involved in inflammatory response
GO:0043549	regulation of kinase activity
GO:0042113	B cell activation
GO:0061448	connective tissue development
GO:0042102	positive regulation of T cell proliferation
GO:0070486	leukocyte aggregation
GO:0045860	positive regulation of protein kinase activity
GO:0002544	chronic inflammatory response
GO:0006898	receptor-mediated endocytosis
GO:2000116	regulation of cysteine-type endopeptidase activity
GO:0042092	type 2 immune response
GO:0071677	positive regulation of mononuclear cell migration
GO:0098543	detection of other organism
GO:0019724	B cell mediated immunity
GO:0001885	endothelial cell development
GO:0002820	negative regulation of adaptive immune response
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation
GO:0001562	response to protozoan
GO:0060333	type II interferon-mediated signaling pathway
GO:0033674	positive regulation of kinase activity
GO:0071559	response to transforming growth factor beta
GO:0150077	regulation of neuroinflammatory response
GO:0001649	osteoblast differentiation
GO:0052548	regulation of endopeptidase activity
GO:0003158	endothelium development
GO:0032964	collagen biosynthetic process
GO:0042554	superoxide anion generation
GO:1903510	mucopolysaccharide metabolic process
GO:0007204	positive regulation of cytosolic calcium ion concentration
GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0034113	heterotypic cell-cell adhesion
GO:0045123	cellular extravasation
GO:0071260	cellular response to mechanical stimulus
GO:0051090	regulation of DNA-binding transcription factor activity
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors
GO:0033273	response to vitamin
GO:0050869	negative regulation of B cell activation
GO:0051338	regulation of transferase activity
GO:0014004	microglia differentiation
GO:0048872	homeostasis of number of cells
GO:0002673	regulation of acute inflammatory response
GO:0046633	alpha-beta T cell proliferation
GO:0050792	regulation of viral process
GO:0002832	negative regulation of response to biotic stimulus
GO:0071496	cellular response to external stimulus
GO:0034142	toll-like receptor 4 signaling pathway
GO:0038093	Fc receptor signaling pathway
GO:0045071	negative regulation of viral genome replication
GO:0072538	T-helper 17 type immune response
GO:0045639	positive regulation of myeloid cell differentiation
GO:2000379	positive regulation of reactive oxygen species metabolic process
GO:0032689	negative regulation of type II interferon production
GO:1904646	cellular response to amyloid-beta
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation
GO:2001234	negative regulation of apoptotic signaling pathway
GO:0042832	defense response to protozoan
GO:0045063	T-helper 1 cell differentiation
GO:0032715	negative regulation of interleukin-6 production
GO:1902622	regulation of neutrophil migration
GO:0002534	cytokine production involved in inflammatory response
GO:0010718	positive regulation of epithelial to mesenchymal transition
GO:1900015	regulation of cytokine production involved in inflammatory response
GO:0002887	negative regulation of myeloid leukocyte mediated immunity
GO:0045576	mast cell activation
GO:0010573	vascular endothelial growth factor production
GO:0097242	amyloid-beta clearance
GO:0002283	neutrophil activation involved in immune response
GO:0035265	organ growth
GO:0030336	negative regulation of cell migration
GO:0071560	cellular response to transforming growth factor beta stimulus
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation
GO:0002437	inflammatory response to antigenic stimulus
GO:0010543	regulation of platelet activation
GO:2001235	positive regulation of apoptotic signaling pathway
GO:0002828	regulation of type 2 immune response
GO:0032743	positive regulation of interleukin-2 production
GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell
GO:0002705	positive regulation of leukocyte mediated immunity
GO:0050671	positive regulation of lymphocyte proliferation
GO:0035456	response to interferon-beta
GO:0051051	negative regulation of transport
GO:0046640	regulation of alpha-beta T cell proliferation
GO:0040013	negative regulation of locomotion
GO:0001960	negative regulation of cytokine-mediated signaling pathway
GO:0045638	negative regulation of myeloid cell differentiation
GO:0016032	viral process
GO:0019730	antimicrobial humoral response
GO:0045444	fat cell differentiation
GO:0051347	positive regulation of transferase activity
GO:0045577	regulation of B cell differentiation
GO:2000146	negative regulation of cell motility
GO:0042542	response to hydrogen peroxide
GO:0002707	negative regulation of lymphocyte mediated immunity
GO:0046638	positive regulation of alpha-beta T cell differentiation
GO:0002431	Fc receptor mediated stimulatory signaling pathway
GO:0010466	negative regulation of peptidase activity
GO:0032946	positive regulation of mononuclear cell proliferation
GO:0002675	positive regulation of acute inflammatory response
GO:0043032	positive regulation of macrophage activation
GO:0045624	positive regulation of T-helper cell differentiation
GO:0051216	cartilage development
GO:0032490	detection of molecule of bacterial origin
GO:0140105	interleukin-10-mediated signaling pathway
GO:0034134	toll-like receptor 2 signaling pathway
GO:0070482	response to oxygen levels
GO:0035924	cellular response to vascular endothelial growth factor stimulus
GO:0010934	macrophage cytokine production
GO:0010935	regulation of macrophage cytokine production
GO:0045429	positive regulation of nitric oxide biosynthetic process
GO:0070741	response to interleukin-6
GO:0044703	multi-organism reproductive process
GO:0060761	negative regulation of response to cytokine stimulus
GO:0140888	interferon-mediated signaling pathway
GO:0032633	interleukin-4 production
GO:0032673	regulation of interleukin-4 production
GO:0036336	dendritic cell migration
GO:0090322	regulation of superoxide metabolic process
GO:0032930	positive regulation of superoxide anion generation
GO:0090026	positive regulation of monocyte chemotaxis
GO:0001935	endothelial cell proliferation
GO:0051928	positive regulation of calcium ion transport
GO:0032740	positive regulation of interleukin-17 production
GO:0036293	response to decreased oxygen levels
GO:0019058	viral life cycle
GO:0033280	response to vitamin D
GO:1904407	positive regulation of nitric oxide metabolic process
GO:0061756	leukocyte adhesion to vascular endothelial cell
GO:0010001	glial cell differentiation
GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction
GO:0001837	epithelial to mesenchymal transition
GO:0021782	glial cell development
GO:0002430	complement receptor mediated signaling pathway
GO:0150146	cell junction disassembly
GO:2000108	positive regulation of leukocyte apoptotic process
GO:0050678	regulation of epithelial cell proliferation
GO:0070372	regulation of ERK1 and ERK2 cascade
GO:0072676	lymphocyte migration
GO:0002763	positive regulation of myeloid leukocyte differentiation
GO:0097193	intrinsic apoptotic signaling pathway
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:0070374	positive regulation of ERK1 and ERK2 cascade
GO:1901222	regulation of non-canonical NF-kappaB signal transduction
GO:0032768	regulation of monooxygenase activity
GO:0006801	superoxide metabolic process
GO:0014909	smooth muscle cell migration
GO:0140467	integrated stress response signaling
GO:0032733	positive regulation of interleukin-10 production
GO:0044706	multi-multicellular organism process
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production
GO:0030282	bone mineralization
GO:1901739	regulation of myoblast fusion
GO:0031342	negative regulation of cell killing
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:0070371	ERK1 and ERK2 cascade
GO:0009620	response to fungus
GO:0042063	gliogenesis
GO:0032928	regulation of superoxide anion generation
GO:0002762	negative regulation of myeloid leukocyte differentiation
GO:0060348	bone development
GO:0031099	regeneration
GO:0045861	negative regulation of proteolysis
GO:0002719	negative regulation of cytokine production involved in immune response
GO:2000316	regulation of T-helper 17 type immune response
GO:0001660	fever generation
GO:0070391	response to lipoteichoic acid
GO:0071223	cellular response to lipoteichoic acid
GO:0045646	regulation of erythrocyte differentiation
GO:0038065	collagen-activated signaling pathway
GO:0043542	endothelial cell migration
GO:0042130	negative regulation of T cell proliferation
GO:0006023	aminoglycan biosynthetic process
GO:0002064	epithelial cell development
GO:1901655	cellular response to ketone
GO:0006691	leukotriene metabolic process
GO:0001776	leukocyte homeostasis
GO:0002262	myeloid cell homeostasis
GO:0001936	regulation of endothelial cell proliferation
GO:0031343	positive regulation of cell killing
GO:0010951	negative regulation of endopeptidase activity
GO:0007584	response to nutrient
GO:0002691	regulation of cellular extravasation
GO:0050765	negative regulation of phagocytosis
GO:0061298	retina vasculature development in camera-type eye
GO:0046641	positive regulation of alpha-beta T cell proliferation
GO:0001666	response to hypoxia
GO:0099024	plasma membrane invagination
GO:0048708	astrocyte differentiation
GO:1904892	regulation of receptor signaling pathway via STAT
GO:0007565	female pregnancy
GO:0043434	response to peptide hormone
GO:0046456	icosanoid biosynthetic process
GO:0061028	establishment of endothelial barrier
GO:0051235	maintenance of location
GO:1905517	macrophage migration
GO:0016045	detection of bacterium
GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway
GO:0006024	glycosaminoglycan biosynthetic process
GO:0045667	regulation of osteoblast differentiation
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway
GO:0001911	negative regulation of leukocyte mediated cytotoxicity
GO:0032753	positive regulation of interleukin-4 production
GO:0060142	regulation of syncytium formation by plasma membrane fusion
GO:0044409	symbiont entry into host
GO:0120161	regulation of cold-induced thermogenesis
GO:0051346	negative regulation of hydrolase activity
GO:0002755	MyD88-dependent toll-like receptor signaling pathway
GO:0032494	response to peptidoglycan
GO:0046643	regulation of gamma-delta T cell activation
GO:0007264	small GTPase-mediated signal transduction
GO:1903900	regulation of viral life cycle
GO:0032479	regulation of type I interferon production
GO:0032606	type I interferon production
GO:0045069	regulation of viral genome replication
GO:0051345	positive regulation of hydrolase activity
GO:0032608	interferon-beta production
GO:0032648	regulation of interferon-beta production
GO:0032720	negative regulation of tumor necrosis factor production
GO:0032890	regulation of organic acid transport
GO:0072678	T cell migration
GO:1990874	vascular associated smooth muscle cell proliferation
GO:0002710	negative regulation of T cell mediated immunity
GO:0071354	cellular response to interleukin-6
GO:2000191	regulation of fatty acid transport
GO:0014812	muscle cell migration
GO:0050829	defense response to Gram-negative bacterium
GO:0002448	mast cell mediated immunity
GO:0071622	regulation of granulocyte chemotaxis
GO:0106106	cold-induced thermogenesis
GO:1901654	response to ketone
GO:0016525	negative regulation of angiogenesis
GO:2000401	regulation of lymphocyte migration
GO:0044403	biological process involved in symbiotic interaction
GO:0030218	erythrocyte differentiation
GO:0006690	icosanoid metabolic process
GO:0043304	regulation of mast cell degranulation
GO:0032309	icosanoid secretion
GO:0032735	positive regulation of interleukin-12 production
GO:0062197	cellular response to chemical stress
GO:0051924	regulation of calcium ion transport
GO:0051048	negative regulation of secretion
GO:0002446	neutrophil mediated immunity
GO:0072539	T-helper 17 cell differentiation
GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response
GO:0070498	interleukin-1-mediated signaling pathway
GO:0090022	regulation of neutrophil chemotaxis
GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell
GO:0006925	inflammatory cell apoptotic process
GO:0032303	regulation of icosanoid secretion
GO:0007229	integrin-mediated signaling pathway
GO:0019882	antigen processing and presentation
GO:2000181	negative regulation of blood vessel morphogenesis
GO:0043331	response to dsRNA
GO:2000117	negative regulation of cysteine-type endopeptidase activity
GO:0070228	regulation of lymphocyte apoptotic process
GO:1903053	regulation of extracellular matrix organization
GO:0034248	regulation of amide metabolic process
GO:0030168	platelet activation
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0022604	regulation of cell morphogenesis
GO:1901343	negative regulation of vasculature development
GO:0006911	phagocytosis, engulfment
GO:0043405	regulation of MAP kinase activity
GO:0006873	intracellular monoatomic ion homeostasis
GO:0071214	cellular response to abiotic stimulus
GO:0104004	cellular response to environmental stimulus
GO:0050679	positive regulation of epithelial cell proliferation
GO:0098586	cellular response to virus
GO:0030003	intracellular monoatomic cation homeostasis
GO:0002862	negative regulation of inflammatory response to antigenic stimulus
GO:0010955	negative regulation of protein processing
GO:0034143	regulation of toll-like receptor 4 signaling pathway
GO:0051043	regulation of membrane protein ectodomain proteolysis
GO:0010715	regulation of extracellular matrix disassembly
GO:0032621	interleukin-18 production
GO:0032661	regulation of interleukin-18 production
GO:0035771	interleukin-4-mediated signaling pathway
GO:0043312	neutrophil degranulation
GO:0045628	regulation of T-helper 2 cell differentiation
GO:0034101	erythrocyte homeostasis
GO:0014911	positive regulation of smooth muscle cell migration
GO:0048247	lymphocyte chemotaxis
GO:0070232	regulation of T cell apoptotic process
GO:0002711	positive regulation of T cell mediated immunity
GO:0014910	regulation of smooth muscle cell migration
GO:0060760	positive regulation of response to cytokine stimulus
GO:0070613	regulation of protein processing
GO:0043270	positive regulation of monoatomic ion transport
GO:0048143	astrocyte activation
GO:0022612	gland morphogenesis
GO:0031649	heat generation
GO:0045064	T-helper 2 cell differentiation
GO:0097396	response to interleukin-17
GO:0097398	cellular response to interleukin-17
GO:1905038	regulation of membrane lipid metabolic process
GO:0010324	membrane invagination
GO:0071715	icosanoid transport
GO:0051701	biological process involved in interaction with host
GO:0002369	T cell cytokine production
GO:0002724	regulation of T cell cytokine production
GO:0002861	regulation of inflammatory response to antigenic stimulus
GO:1990845	adaptive thermogenesis
GO:0002507	tolerance induction
GO:0002726	positive regulation of T cell cytokine production
GO:0090330	regulation of platelet aggregation
GO:1904019	epithelial cell apoptotic process
GO:0032692	negative regulation of interleukin-1 production
GO:0050901	leukocyte tethering or rolling
GO:0010717	regulation of epithelial to mesenchymal transition
GO:0000302	response to reactive oxygen species
GO:1905952	regulation of lipid localization
GO:0071900	regulation of protein serine/threonine kinase activity
GO:0006509	membrane protein ectodomain proteolysis
GO:0071407	cellular response to organic cyclic compound
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway
GO:0043409	negative regulation of MAPK cascade
GO:1904705	regulation of vascular associated smooth muscle cell proliferation
GO:0050832	defense response to fungus
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway
GO:0002708	positive regulation of lymphocyte mediated immunity
GO:0019079	viral genome replication
GO:0060485	mesenchyme development
GO:0048762	mesenchymal cell differentiation
GO:1903034	regulation of response to wounding
GO:0046885	regulation of hormone biosynthetic process
GO:0050650	chondroitin sulfate proteoglycan biosynthetic process
GO:0060907	positive regulation of macrophage cytokine production
GO:0045824	negative regulation of innate immune response
GO:0002468	dendritic cell antigen processing and presentation
GO:0006586	indolalkylamine metabolic process
GO:0031650	regulation of heat generation
GO:0043301	negative regulation of leukocyte degranulation
GO:0070141	response to UV-A
GO:1901741	positive regulation of myoblast fusion
GO:1903238	positive regulation of leukocyte tethering or rolling
GO:1903531	negative regulation of secretion by cell
GO:0043303	mast cell degranulation
GO:1904035	regulation of epithelial cell apoptotic process
GO:0034110	regulation of homotypic cell-cell adhesion
GO:0120162	positive regulation of cold-induced thermogenesis
GO:0032703	negative regulation of interleukin-2 production
GO:1903318	negative regulation of protein maturation
GO:0030183	B cell differentiation
GO:0031623	receptor internalization
GO:0031960	response to corticosteroid
GO:0002693	positive regulation of cellular extravasation
GO:0002830	positive regulation of type 2 immune response
GO:0030206	chondroitin sulfate biosynthetic process
GO:0032310	prostaglandin secretion
GO:0032495	response to muramyl dipeptide
GO:0033003	regulation of mast cell activation
GO:0046718	symbiont entry into host cell
GO:0002377	immunoglobulin production
GO:0097306	cellular response to alcohol
GO:0001937	negative regulation of endothelial cell proliferation
GO:0046636	negative regulation of alpha-beta T cell activation
GO:0051341	regulation of oxidoreductase activity
GO:0034764	positive regulation of transmembrane transport
GO:0046620	regulation of organ growth
GO:0002335	mature B cell differentiation
