ID	Description
GO:0051051	negative regulation of transport
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway
GO:0002250	adaptive immune response
GO:0001503	ossification
GO:0051767	nitric-oxide synthase biosynthetic process
GO:0051769	regulation of nitric-oxide synthase biosynthetic process
GO:0009620	response to fungus
GO:0032732	positive regulation of interleukin-1 production
GO:0001934	positive regulation of protein phosphorylation
GO:0010562	positive regulation of phosphorus metabolic process
GO:0045937	positive regulation of phosphate metabolic process
GO:0002687	positive regulation of leukocyte migration
GO:0032612	interleukin-1 production
GO:0032652	regulation of interleukin-1 production
GO:0002523	leukocyte migration involved in inflammatory response
GO:0051091	positive regulation of DNA-binding transcription factor activity
GO:0042327	positive regulation of phosphorylation
GO:0043410	positive regulation of MAPK cascade
GO:0001774	microglial cell activation
GO:0045859	regulation of protein kinase activity
GO:0002224	toll-like receptor signaling pathway
GO:0002443	leukocyte mediated immunity
GO:0002440	production of molecular mediator of immune response
GO:0002269	leukocyte activation involved in inflammatory response
GO:0071674	mononuclear cell migration
GO:0002548	monocyte chemotaxis
GO:0002718	regulation of cytokine production involved in immune response
GO:0006968	cellular defense response
GO:0140353	lipid export from cell
GO:0002532	production of molecular mediator involved in inflammatory response
GO:0048708	astrocyte differentiation
GO:0051338	regulation of transferase activity
GO:0045765	regulation of angiogenesis
GO:0002685	regulation of leukocyte migration
GO:1901342	regulation of vasculature development
GO:0043549	regulation of kinase activity
GO:0021782	glial cell development
GO:0007599	hemostasis
GO:0002700	regulation of production of molecular mediator of immune response
GO:0050832	defense response to fungus
GO:0002366	leukocyte activation involved in immune response
GO:0038093	Fc receptor signaling pathway
GO:0002263	cell activation involved in immune response
GO:2001233	regulation of apoptotic signaling pathway
GO:1903131	mononuclear cell differentiation
GO:0045637	regulation of myeloid cell differentiation
GO:0002699	positive regulation of immune effector process
GO:0010575	positive regulation of vascular endothelial growth factor production
GO:0150077	regulation of neuroinflammatory response
GO:0050921	positive regulation of chemotaxis
GO:0032102	negative regulation of response to external stimulus
GO:1903531	negative regulation of secretion by cell
GO:0032490	detection of molecule of bacterial origin
GO:0051047	positive regulation of secretion
GO:0050869	negative regulation of B cell activation
GO:0140895	cell surface toll-like receptor signaling pathway
GO:0050920	regulation of chemotaxis
GO:0070486	leukocyte aggregation
GO:0045807	positive regulation of endocytosis
GO:0010721	negative regulation of cell development
GO:0009595	detection of biotic stimulus
GO:0006959	humoral immune response
GO:0070555	response to interleukin-1
GO:0031960	response to corticosteroid
GO:0002444	myeloid leukocyte mediated immunity
GO:0051090	regulation of DNA-binding transcription factor activity
GO:0046888	negative regulation of hormone secretion
GO:0150078	positive regulation of neuroinflammatory response
GO:1903706	regulation of hemopoiesis
GO:0010574	regulation of vascular endothelial growth factor production
GO:0062207	regulation of pattern recognition receptor signaling pathway
GO:0033280	response to vitamin D
GO:0045766	positive regulation of angiogenesis
GO:0030099	myeloid cell differentiation
GO:0045860	positive regulation of protein kinase activity
GO:0032609	type II interferon production
GO:0032649	regulation of type II interferon production
GO:0051048	negative regulation of secretion
GO:0032729	positive regulation of type II interferon production
GO:0007584	response to nutrient
GO:1904018	positive regulation of vasculature development
GO:0006909	phagocytosis
GO:0030098	lymphocyte differentiation
GO:0010573	vascular endothelial growth factor production
GO:0031214	biomineral tissue development
GO:0060759	regulation of response to cytokine stimulus
GO:0001818	negative regulation of cytokine production
GO:0071260	cellular response to mechanical stimulus
GO:0002683	negative regulation of immune system process
GO:0042060	wound healing
GO:0034134	toll-like receptor 2 signaling pathway
GO:0045779	negative regulation of bone resorption
GO:0045444	fat cell differentiation
GO:0030282	bone mineralization
GO:0071496	cellular response to external stimulus
GO:0030100	regulation of endocytosis
GO:0007596	blood coagulation
GO:0071902	positive regulation of protein serine/threonine kinase activity
GO:0043406	positive regulation of MAP kinase activity
GO:1903532	positive regulation of secretion by cell
GO:0033674	positive regulation of kinase activity
GO:0043405	regulation of MAP kinase activity
GO:0098543	detection of other organism
GO:0045124	regulation of bone resorption
GO:0060627	regulation of vesicle-mediated transport
GO:0043086	negative regulation of catalytic activity
GO:0050817	coagulation
GO:0071900	regulation of protein serine/threonine kinase activity
GO:0002720	positive regulation of cytokine production involved in immune response
GO:0045638	negative regulation of myeloid cell differentiation
GO:0050867	positive regulation of cell activation
GO:0006953	acute-phase response
GO:0050864	regulation of B cell activation
GO:0001906	cell killing
GO:0051924	regulation of calcium ion transport
GO:0032310	prostaglandin secretion
GO:0046851	negative regulation of bone remodeling
GO:0055119	relaxation of cardiac muscle
GO:0002703	regulation of leukocyte mediated immunity
GO:0002283	neutrophil activation involved in immune response
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0070098	chemokine-mediated signaling pathway
GO:0046879	hormone secretion
GO:0051384	response to glucocorticoid
GO:0061082	myeloid leukocyte cytokine production
GO:0043030	regulation of macrophage activation
GO:0002292	T cell differentiation involved in immune response
GO:0033273	response to vitamin
GO:0046849	bone remodeling
GO:0009914	hormone transport
GO:0002544	chronic inflammatory response
GO:0090026	positive regulation of monocyte chemotaxis
GO:2001235	positive regulation of apoptotic signaling pathway
GO:0046883	regulation of hormone secretion
GO:0046850	regulation of bone remodeling
GO:1990868	response to chemokine
GO:1990869	cellular response to chemokine
GO:0002275	myeloid cell activation involved in immune response
GO:0010543	regulation of platelet activation
GO:0010001	glial cell differentiation
GO:0048545	response to steroid hormone
GO:0034104	negative regulation of tissue remodeling
GO:0048143	astrocyte activation
GO:0071677	positive regulation of mononuclear cell migration
GO:0002762	negative regulation of myeloid leukocyte differentiation
GO:0033138	positive regulation of peptidyl-serine phosphorylation
GO:0050764	regulation of phagocytosis
GO:0023061	signal release
GO:0007566	embryo implantation
GO:0098581	detection of external biotic stimulus
GO:0050830	defense response to Gram-positive bacterium
GO:0060349	bone morphogenesis
GO:0051347	positive regulation of transferase activity
GO:0046697	decidualization
GO:0031663	lipopolysaccharide-mediated signaling pathway
GO:0060135	maternal process involved in female pregnancy
GO:0070542	response to fatty acid
GO:0043032	positive regulation of macrophage activation
GO:1900017	positive regulation of cytokine production involved in inflammatory response
GO:0009612	response to mechanical stimulus
GO:2001236	regulation of extrinsic apoptotic signaling pathway
GO:0042730	fibrinolysis
GO:0051250	negative regulation of lymphocyte activation
GO:0034113	heterotypic cell-cell adhesion
GO:0045744	negative regulation of G protein-coupled receptor signaling pathway
GO:0034612	response to tumor necrosis factor
GO:0010955	negative regulation of protein processing
GO:0006937	regulation of muscle contraction
GO:0051346	negative regulation of hydrolase activity
GO:0090025	regulation of monocyte chemotaxis
GO:0031640	killing of cells of another organism
GO:0141061	disruption of cell in another organism
GO:0007204	positive regulation of cytosolic calcium ion concentration
GO:0043269	regulation of monoatomic ion transport
GO:0002449	lymphocyte mediated immunity
GO:0051607	defense response to virus
GO:0032623	interleukin-2 production
GO:0032663	regulation of interleukin-2 production
GO:1902106	negative regulation of leukocyte differentiation
GO:0019722	calcium-mediated signaling
GO:0097191	extrinsic apoptotic signaling pathway
GO:0006690	icosanoid metabolic process
GO:0006691	leukotriene metabolic process
GO:0015732	prostaglandin transport
GO:1903318	negative regulation of protein maturation
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0141060	disruption of anatomical structure in another organism
GO:0045453	bone resorption
GO:0051928	positive regulation of calcium ion transport
GO:0090075	relaxation of muscle
GO:0002573	myeloid leukocyte differentiation
GO:0010959	regulation of metal ion transport
GO:0050878	regulation of body fluid levels
GO:0045670	regulation of osteoclast differentiation
GO:0007249	canonical NF-kappaB signal transduction
GO:1903707	negative regulation of hemopoiesis
GO:2000191	regulation of fatty acid transport
GO:0070374	positive regulation of ERK1 and ERK2 cascade
GO:0030217	T cell differentiation
GO:0045671	negative regulation of osteoclast differentiation
GO:0070498	interleukin-1-mediated signaling pathway
GO:0090022	regulation of neutrophil chemotaxis
GO:0002761	regulation of myeloid leukocyte differentiation
GO:0006022	aminoglycan metabolic process
GO:0009615	response to virus
GO:0032890	regulation of organic acid transport
GO:0033135	regulation of peptidyl-serine phosphorylation
GO:0055117	regulation of cardiac muscle contraction
GO:0002695	negative regulation of leukocyte activation
GO:0030212	hyaluronan metabolic process
GO:1901889	negative regulation of cell junction assembly
GO:1904951	positive regulation of establishment of protein localization
GO:0001893	maternal placenta development
GO:0086004	regulation of cardiac muscle cell contraction
GO:0007565	female pregnancy
GO:0034103	regulation of tissue remodeling
GO:0001659	temperature homeostasis
GO:0051235	maintenance of location
GO:0002702	positive regulation of production of molecular mediator of immune response
GO:0016064	immunoglobulin mediated immune response
GO:1903829	positive regulation of protein localization
GO:0046209	nitric oxide metabolic process
GO:1902105	regulation of leukocyte differentiation
GO:0010712	regulation of collagen metabolic process
GO:0010934	macrophage cytokine production
GO:0010935	regulation of macrophage cytokine production
GO:0045429	positive regulation of nitric oxide biosynthetic process
GO:0001547	antral ovarian follicle growth
GO:0001660	fever generation
GO:0022605	mammalian oogenesis stage
GO:0031652	positive regulation of heat generation
GO:0051964	negative regulation of synapse assembly
GO:0060628	regulation of ER to Golgi vesicle-mediated transport
GO:0070391	response to lipoteichoic acid
GO:0071223	cellular response to lipoteichoic acid
GO:2000659	regulation of interleukin-1-mediated signaling pathway
GO:0070663	regulation of leukocyte proliferation
GO:0019724	B cell mediated immunity
GO:0051249	regulation of lymphocyte activation
GO:0007159	leukocyte cell-cell adhesion
GO:2001057	reactive nitrogen species metabolic process
GO:0042476	odontogenesis
GO:0045923	positive regulation of fatty acid metabolic process
GO:1904407	positive regulation of nitric oxide metabolic process
GO:0098739	import across plasma membrane
GO:0002286	T cell activation involved in immune response
GO:0002446	neutrophil mediated immunity
GO:0032620	interleukin-17 production
GO:0032660	regulation of interleukin-17 production
GO:0032728	positive regulation of interferon-beta production
GO:0031667	response to nutrient levels
GO:0070372	regulation of ERK1 and ERK2 cascade
GO:0030003	intracellular monoatomic cation homeostasis
GO:0001894	tissue homeostasis
GO:0060249	anatomical structure homeostasis
GO:0071347	cellular response to interleukin-1
GO:0032494	response to peptidoglycan
GO:0034135	regulation of toll-like receptor 2 signaling pathway
GO:0045986	negative regulation of smooth muscle contraction
GO:0060900	embryonic camera-type eye formation
GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:0032733	positive regulation of interleukin-10 production
GO:0097242	amyloid-beta clearance
GO:0042113	B cell activation
GO:0045861	negative regulation of proteolysis
GO:0042063	gliogenesis
GO:1903115	regulation of actin filament-based movement
GO:0071675	regulation of mononuclear cell migration
GO:0006873	intracellular monoatomic ion homeostasis
GO:0050866	negative regulation of cell activation
GO:0009306	protein secretion
GO:0050673	epithelial cell proliferation
GO:0050671	positive regulation of lymphocyte proliferation
GO:0043270	positive regulation of monoatomic ion transport
GO:0070201	regulation of establishment of protein localization
GO:0002696	positive regulation of leukocyte activation
GO:0044703	multi-organism reproductive process
GO:0048660	regulation of smooth muscle cell proliferation
GO:0051961	negative regulation of nervous system development
GO:0035592	establishment of protein localization to extracellular region
GO:0048661	positive regulation of smooth muscle cell proliferation
GO:0002638	negative regulation of immunoglobulin production
GO:0010572	positive regulation of platelet activation
GO:0010715	regulation of extracellular matrix disassembly
GO:0032621	interleukin-18 production
GO:0032661	regulation of interleukin-18 production
GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production
GO:0034144	negative regulation of toll-like receptor 4 signaling pathway
GO:0042447	hormone catabolic process
GO:0060352	cell adhesion molecule production
GO:0061043	regulation of vascular wound healing
GO:0070424	regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway
GO:0071639	positive regulation of monocyte chemotactic protein-1 production
GO:0140105	interleukin-10-mediated signaling pathway
GO:0050829	defense response to Gram-negative bacterium
GO:0032946	positive regulation of mononuclear cell proliferation
GO:0042554	superoxide anion generation
GO:0048659	smooth muscle cell proliferation
GO:1903510	mucopolysaccharide metabolic process
GO:0071692	protein localization to extracellular region
GO:0043300	regulation of leukocyte degranulation
GO:0006942	regulation of striated muscle contraction
GO:0002467	germinal center formation
GO:0017014	protein nitrosylation
GO:0018119	peptidyl-cysteine S-nitrosylation
GO:0030213	hyaluronan biosynthetic process
GO:0031650	regulation of heat generation
GO:0031665	negative regulation of lipopolysaccharide-mediated signaling pathway
GO:0036006	cellular response to macrophage colony-stimulating factor stimulus
GO:0061029	eyelid development in camera-type eye
GO:0044706	multi-multicellular organism process
GO:0032309	icosanoid secretion
GO:1902622	regulation of neutrophil migration
GO:0043122	regulation of canonical NF-kappaB signal transduction
GO:0002285	lymphocyte activation involved in immune response
GO:0019730	antimicrobial humoral response
GO:0070371	ERK1 and ERK2 cascade
GO:0070664	negative regulation of leukocyte proliferation
GO:0071346	cellular response to type II interferon
GO:0043542	endothelial cell migration
GO:0002701	negative regulation of production of molecular mediator of immune response
GO:0008277	regulation of G protein-coupled receptor signaling pathway
GO:0014004	microglia differentiation
GO:0032306	regulation of prostaglandin secretion
GO:1905809	negative regulation of synapse organization
GO:0018105	peptidyl-serine phosphorylation
GO:0048511	rhythmic process
GO:0022602	ovulation cycle process
GO:0001649	osteoblast differentiation
GO:1903035	negative regulation of response to wounding
GO:0048705	skeletal system morphogenesis
GO:0046456	icosanoid biosynthetic process
GO:0010042	response to manganese ion
GO:0016045	detection of bacterium
GO:0030728	ovulation
GO:0032604	granulocyte macrophage colony-stimulating factor production
GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production
GO:0061760	antifungal innate immune response
GO:0070207	protein homotrimerization
GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway
GO:0090257	regulation of muscle system process
GO:0010876	lipid localization
GO:0030195	negative regulation of blood coagulation
GO:0045933	positive regulation of muscle contraction
GO:0061756	leukocyte adhesion to vascular endothelial cell
GO:0070665	positive regulation of leukocyte proliferation
GO:0001959	regulation of cytokine-mediated signaling pathway
GO:0018209	peptidyl-serine modification
GO:0050728	negative regulation of inflammatory response
GO:1905952	regulation of lipid localization
GO:0050670	regulation of lymphocyte proliferation
GO:0071622	regulation of granulocyte chemotaxis
GO:1900047	negative regulation of hemostasis
GO:0001558	regulation of cell growth
GO:0007252	I-kappaB phosphorylation
GO:0030502	negative regulation of bone mineralization
GO:0035338	long-chain fatty-acyl-CoA biosynthetic process
GO:0090399	replicative senescence
GO:1903978	regulation of microglial cell activation
GO:0001676	long-chain fatty acid metabolic process
GO:0015718	monocarboxylic acid transport
GO:0030308	negative regulation of cell growth
GO:0032944	regulation of mononuclear cell proliferation
GO:0050819	negative regulation of coagulation
GO:0031649	heat generation
GO:0051917	regulation of fibrinolysis
GO:0071605	monocyte chemotactic protein-1 production
GO:0071637	regulation of monocyte chemotactic protein-1 production
GO:0030316	osteoclast differentiation
GO:0042886	amide transport
GO:0002886	regulation of myeloid leukocyte mediated immunity
GO:0060986	endocrine hormone secretion
GO:0052547	regulation of peptidase activity
GO:0006766	vitamin metabolic process
GO:1903034	regulation of response to wounding
GO:0070206	protein trimerization
GO:1902036	regulation of hematopoietic stem cell differentiation
GO:0030203	glycosaminoglycan metabolic process
GO:0001541	ovarian follicle development
GO:0034142	toll-like receptor 4 signaling pathway
GO:0045428	regulation of nitric oxide biosynthetic process
GO:0002262	myeloid cell homeostasis
GO:0002534	cytokine production involved in inflammatory response
GO:0010718	positive regulation of epithelial to mesenchymal transition
GO:0032608	interferon-beta production
GO:0032648	regulation of interferon-beta production
GO:0032720	negative regulation of tumor necrosis factor production
GO:0050805	negative regulation of synaptic transmission
GO:0051926	negative regulation of calcium ion transport
GO:0080164	regulation of nitric oxide metabolic process
GO:1900015	regulation of cytokine production involved in inflammatory response
GO:0010466	negative regulation of peptidase activity
GO:0006940	regulation of smooth muscle contraction
GO:0032613	interleukin-10 production
GO:0032653	regulation of interleukin-10 production
GO:0060350	endochondral bone morphogenesis
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway
GO:0035743	CD4-positive, alpha-beta T cell cytokine production
GO:0045932	negative regulation of muscle contraction
GO:1900227	positive regulation of NLRP3 inflammasome complex assembly
GO:0006816	calcium ion transport
GO:0002790	peptide secretion
GO:0048771	tissue remodeling
GO:0030667	secretory granule membrane
GO:0070821	tertiary granule membrane
GO:0070820	tertiary granule
GO:0101002	ficolin-1-rich granule
GO:0101003	ficolin-1-rich granule membrane
GO:0009897	external side of plasma membrane
GO:0035579	specific granule membrane
GO:0034774	secretory granule lumen
GO:0060205	cytoplasmic vesicle lumen
GO:0031983	vesicle lumen
GO:0042581	specific granule
GO:0043235	receptor complex
GO:0030139	endocytic vesicle
GO:0045121	membrane raft
GO:0098857	membrane microdomain
GO:0030666	endocytic vesicle membrane
GO:0045335	phagocytic vesicle
GO:0005125	cytokine activity
GO:0140375	immune receptor activity
GO:0048018	receptor ligand activity
GO:0030546	signaling receptor activator activity
GO:0030545	signaling receptor regulator activity
GO:0038187	pattern recognition receptor activity
GO:0050786	RAGE receptor binding
GO:0035325	Toll-like receptor binding
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating
GO:0030246	carbohydrate binding
GO:0031406	carboxylic acid binding
GO:0043177	organic acid binding
GO:0004875	complement receptor activity
GO:0005126	cytokine receptor binding
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0036041	long-chain fatty acid binding
GO:0005539	glycosaminoglycan binding
GO:0001540	amyloid-beta binding
GO:0045236	CXCR chemokine receptor binding
GO:0070851	growth factor receptor binding
GO:0033691	sialic acid binding
GO:0001664	G protein-coupled receptor binding
GO:0019955	cytokine binding
GO:0019865	immunoglobulin binding
GO:0004896	cytokine receptor activity
GO:0008083	growth factor activity
GO:0019957	C-C chemokine binding
GO:0042277	peptide binding
GO:0033218	amide binding
GO:0051861	glycolipid binding
GO:0033293	monocarboxylic acid binding
GO:0019956	chemokine binding
GO:0032396	inhibitory MHC class I receptor activity
GO:0034987	immunoglobulin receptor binding
GO:0071723	lipopeptide binding
GO:0019763	immunoglobulin receptor activity
GO:0047676	arachidonate-CoA ligase activity
GO:0008009	chemokine activity
GO:0005504	fatty acid binding
GO:0004467	long-chain fatty acid-CoA ligase activity
GO:0032393	MHC class I receptor activity
GO:0070492	oligosaccharide binding
GO:0004930	G protein-coupled receptor activity
GO:0030414	peptidase inhibitor activity
GO:0005149	interleukin-1 receptor binding
GO:0042379	chemokine receptor binding
